EmployeeNumber,Gender,Education,EducationField,Department,JobRole,JobLevel,PerformanceRating,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,BusinessTravel,OverTime,WorkLifeBalance,MaritalStatus,StockOptionLevel,Age,DistanceFromHome,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
330,Female,College,Medical,Sales,Sales Representative,L1,High,High,High,High,Medium,Travel Frequently,Frequently,Best,Single,L0,18,3,1569,544,70,18420,1,12,0,2,0,0,0,0,Yes
331,Female,College,Life Sciences,Sales,Sales Executive,L2,High,High,High,Low,Medium,Travel Rarely,Frequently,Bad,Single,L0,41,1,5993,1102,94,19479,8,11,8,0,6,4,0,5,Yes
332,Female,Bachelor,Medical,Sales,Sales Representative,L1,Medium,Medium,Medium,Very High,High,Travel Rarely,Never,Good,Single,L0,20,2,2044,500,49,22052,1,13,2,3,2,2,0,2,Yes
333,Female,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Best,Single,L0,31,8,1261,202,34,22262,1,12,1,3,1,0,0,0,Yes
334,Male,Below College,Medical,Sales,Sales Executive,L2,High,High,High,High,High,Travel Rarely,Never,Good,Single,L0,55,2,5160,436,37,21519,4,16,12,3,9,7,7,3,Yes
335,Male,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Medium,Low,Travel Frequently,Frequently,Better,Married,L1,26,2,2042,342,57,15346,6,14,6,2,3,2,1,2,Yes
336,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Low,Medium,Travel Frequently,Never,Better,Single,L0,30,5,2422,109,60,25725,0,17,4,3,3,2,1,2,Yes
337,Female,Bachelor,Medical,Research & Development,Manager,L4,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Divorced,L3,55,8,14756,836,33,19730,2,14,21,2,5,0,0,2,No
338,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Very High,Travel Rarely,Frequently,Good,Divorced,L1,49,16,2587,464,74,24941,4,16,17,2,2,2,2,2,No
339,Female,Master,Medical,Sales,Sales Executive,L2,Medium,Medium,Medium,High,Low,Travel Rarely,Frequently,Best,Single,L0,34,24,4599,790,40,7815,0,23,16,2,15,9,10,10,Yes
340,Male,Master,Medical,Research & Development,Manufacturing Director,L2,High,High,High,Very High,Very High,Travel Rarely,Frequently,Good,Married,L2,31,22,6179,330,98,21057,1,15,10,3,10,2,6,7,Yes
341,Male,Bachelor,Other,Research & Development,Manufacturing Director,L2,High,High,High,High,High,Travel Rarely,Never,Good,Married,L1,30,20,9957,1176,85,9096,0,15,7,1,6,2,0,2,No
342,Male,College,Technical Degree,Sales,Sales Executive,L2,High,High,High,Low,Medium,Travel Frequently,Frequently,Better,Married,L1,50,8,6796,562,50,23452,3,14,18,4,4,3,1,3,Yes
343,Male,College,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,Low,Low,Travel Rarely,Never,Better,Married,L0,25,9,4400,383,68,15182,3,12,6,2,3,2,2,2,Yes
344,Female,College,Life Sciences,Sales,Sales Executive,L2,High,High,High,Low,Low,Travel Rarely,Never,Better,Single,L0,24,3,4577,693,65,24785,9,14,4,3,2,2,2,0,Yes
345,Male,College,Medical,Human Resources,Human Resources,L2,High,High,High,Very High,Medium,Travel Rarely,Frequently,Better,Divorced,L1,46,5,5021,945,80,10425,8,22,16,2,4,2,0,2,No
346,Male,College,Marketing,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Low,Travel Rarely,Frequently,Better,Married,L0,50,3,2683,869,86,3810,1,14,3,2,3,2,0,2,Yes
347,Female,Bachelor,Marketing,Sales,Sales Executive,L3,Medium,Medium,Medium,High,High,Travel Rarely,Frequently,Better,Married,L1,46,10,9071,1125,94,11563,2,19,15,3,3,2,1,2,No
348,Female,Master,Life Sciences,Research & Development,Healthcare Representative,L2,Very High,Very High,Very High,High,Medium,Travel Rarely,Never,Good,Single,L0,38,1,7625,827,33,19383,0,13,10,4,9,7,1,8,No
349,Male,Bachelor,Technical Degree,Sales,Sales Representative,L2,High,High,High,High,Very High,Travel Rarely,Never,Best,Married,L1,39,5,2086,895,56,3335,3,14,19,6,1,0,0,0,Yes
350,Male,Master,Human Resources,Human Resources,Human Resources,L2,High,High,High,High,High,Travel Frequently,Never,Better,Married,L0,38,10,6077,888,71,14814,3,11,10,2,6,3,1,2,No
351,Female,Below College,Life Sciences,Research & Development,Research Scientist,L1,Low,Low,Low,Medium,Medium,Travel Frequently,Frequently,Better,Single,L0,32,16,3919,1125,72,4681,1,22,10,5,10,2,6,7,Yes
352,Male,Below College,Marketing,Sales,Sales Representative,L1,High,High,High,Medium,Medium,Travel Rarely,Never,Better,Single,L0,21,7,2679,337,31,4567,1,13,1,3,1,0,1,0,Yes
353,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Very High,Travel Rarely,Frequently,Bad,Married,L0,39,6,2404,1122,70,4303,7,21,8,2,2,2,2,2,Yes
354,Male,Master,Life Sciences,Sales,Sales Executive,L3,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Bad,Married,L0,37,1,10609,625,46,14922,5,11,17,2,14,1,11,7,Yes
355,Female,Below College,Marketing,Sales,Manager,L5,Low,Low,Low,Very High,Low,Travel Rarely,Never,Better,Married,L1,52,2,19845,266,57,25846,1,15,33,3,32,14,6,9,Yes
356,Female,Master,Life Sciences,Research & Development,Research Director,L4,High,High,High,High,Very High,Travel Rarely,Never,Better,Single,L0,53,23,14275,102,72,20206,6,18,33,0,12,9,3,8,No
357,Male,College,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Medium,Low,Travel Rarely,Never,Better,Divorced,L3,27,4,2517,1167,76,3208,1,11,5,2,5,3,0,3,No
358,Male,Doctor,Marketing,Sales,Sales Executive,L3,Very High,Very High,Very High,Very High,Very High,Travel Rarely,Frequently,Better,Divorced,L2,33,10,8380,536,82,21708,0,14,10,3,9,8,0,8,No
359,Male,College,Medical,Research & Development,Manager,L5,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Best,Married,L1,49,4,18711,1098,85,12124,2,13,23,2,1,0,0,0,No
360,Female,Master,Medical,Research & Development,Manager,L3,High,High,High,Very High,Medium,Travel Rarely,Frequently,Better,Married,L2,30,17,11916,634,95,25927,1,23,9,2,9,1,0,8,No
361,Female,Below College,Technical Degree,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Low,Travel Frequently,Frequently,Better,Single,L0,21,1,2174,756,99,9150,1,11,3,3,3,2,1,2,Yes
362,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L2,High,High,High,Low,Medium,Travel Rarely,Never,Better,Divorced,L1,31,20,4197,311,89,18624,1,11,10,2,10,8,0,2,No
363,Female,Master,Marketing,Sales,Sales Representative,L2,Low,Low,Low,Low,Medium,Travel Rarely,Frequently,Good,Married,L2,38,2,5405,723,77,4244,2,20,20,4,4,2,0,3,No
364,Male,College,Technical Degree,Human Resources,Human Resources,L1,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Best,Single,L0,19,2,2564,489,52,18437,1,12,1,3,1,0,0,0,Yes
365,Female,Doctor,Life Sciences,Sales,Manager,L4,High,High,High,Medium,Medium,Travel Rarely,Never,Better,Married,L1,41,2,16595,1276,91,5626,7,16,22,2,18,16,11,8,No
366,Female,Master,Life Sciences,Human Resources,Human Resources,L1,High,High,High,Medium,Medium,Travel Frequently,Frequently,Good,Divorced,L1,26,17,2741,426,58,22808,0,11,8,2,7,7,1,0,Yes
367,Male,College,Medical,Research & Development,Manufacturing Director,L2,High,High,High,High,Very High,Travel Rarely,Never,Good,Divorced,L2,37,5,6347,1192,61,23177,7,16,8,2,6,2,0,4,No
368,Female,College,Life Sciences,Sales,Sales Executive,L2,Very High,Very High,Very High,Very High,Medium,Travel Frequently,Frequently,Better,Single,L0,47,27,6397,719,77,10339,4,12,8,2,5,4,1,3,Yes
369,Female,Bachelor,Life Sciences,Research & Development,Manufacturing Director,L4,Medium,Medium,Medium,Low,High,Travel Rarely,Frequently,Better,Single,L0,59,2,13726,715,69,21829,3,13,30,4,5,3,4,3,No
370,Female,Bachelor,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Rarely,Never,Better,Single,L0,33,16,5324,118,69,26507,5,15,6,3,3,2,0,2,Yes
371,Female,Doctor,Life Sciences,Research & Development,Manufacturing Director,L3,Very High,Very High,Very High,Low,High,Travel Frequently,Never,Better,Single,L0,31,1,7446,1445,100,8931,1,11,10,2,10,8,4,7,Yes
372,Male,Master,Life Sciences,Sales,Sales Executive,L3,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Bad,Married,L0,37,1,10609,625,46,14922,5,11,17,2,14,1,11,7,Yes
373,Male,Bachelor,Life Sciences,Sales,Manager,L3,Medium,Medium,Medium,High,High,Travel Rarely,Never,Good,Divorced,L1,31,7,11557,688,44,25291,9,21,10,3,5,4,0,1,No
374,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Never,Never,Better,Single,L0,18,8,1904,247,80,13556,1,12,0,0,0,0,0,0,Yes
375,Male,Bachelor,Marketing,Sales,Sales Executive,L3,High,High,High,Medium,Medium,Travel Frequently,Never,Better,Married,L0,51,2,10596,541,52,15395,2,11,14,5,4,2,3,2,No
376,Female,Below College,Technical Degree,Research & Development,Manufacturing Director,L2,High,High,High,Very High,Very High,Travel Frequently,Never,Good,Single,L0,31,24,5238,163,30,6670,2,20,9,3,5,4,1,4,No
377,Female,Master,Medical,Research & Development,Manager,L4,High,High,High,Low,Medium,Travel Frequently,Never,Better,Divorced,L1,54,11,16032,1050,87,24456,3,20,26,2,14,9,1,12,No
378,Female,Master,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Never,Better,Divorced,L3,39,1,2232,1431,96,15417,7,14,7,1,3,2,1,2,No
379,Male,Bachelor,Medical,Sales,Sales Executive,L2,High,High,High,Low,High,Travel Rarely,Never,Better,Single,L0,26,10,4684,572,46,9125,1,13,5,4,5,3,1,2,No
380,Male,College,Medical,Sales,Sales Executive,L2,Low,Low,Low,Very High,Medium,Travel Never,Never,Better,Single,L0,26,29,4969,265,79,21813,8,18,7,6,2,2,2,2,Yes
381,Female,Below College,Marketing,Sales,Manager,L5,Low,Low,Low,Very High,Low,Travel Rarely,Never,Better,Married,L1,52,2,19845,266,57,25846,1,15,33,3,32,14,6,9,Yes
382,Male,College,Life Sciences,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Very High,Travel Frequently,Frequently,Good,Single,L0,29,24,2439,459,73,14753,1,24,1,3,1,0,1,0,Yes
383,Female,Bachelor,Marketing,Sales,Sales Executive,L3,High,High,High,Low,High,Travel Rarely,Never,Best,Married,L2,49,11,7654,1184,43,5860,1,18,9,3,9,8,7,7,Yes
384,Male,Master,Life Sciences,Research & Development,Research Director,L5,Medium,Medium,Medium,High,Very High,Travel Rarely,Frequently,Better,Divorced,L1,49,18,19502,1245,58,2125,1,17,31,5,31,9,0,9,No
385,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Low,Low,Low,High,Very High,Travel Rarely,Never,Better,Single,L0,35,22,4230,144,46,19225,0,15,6,2,5,4,4,3,No
386,Male,Bachelor,Life Sciences,Research & Development,Healthcare Representative,L3,High,High,High,High,Very High,Travel Frequently,Frequently,Bad,Married,L1,42,2,10124,288,40,18611,2,14,24,3,20,8,13,9,No
387,Female,Bachelor,Medical,Research & Development,Healthcare Representative,L3,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Never,Best,Single,L0,34,9,8621,1442,46,17654,1,14,9,3,8,7,7,7,No
388,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,Very High,Very High,Very High,Very High,High,Travel Rarely,Never,Good,Married,L0,34,20,2585,1320,89,21643,0,17,2,5,1,0,0,0,No
389,Female,College,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Low,Low,Travel Rarely,Never,Best,Married,L0,33,2,2707,465,39,21509,7,20,13,3,9,7,1,7,Yes
390,Female,Bachelor,Medical,Sales,Sales Representative,L1,High,High,High,Low,High,Travel Rarely,Never,Better,Single,L0,20,2,2783,1141,31,13251,1,19,2,3,2,2,2,2,No
391,Female,Master,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Very High,Very High,Travel Rarely,Frequently,Better,Single,L0,27,17,2394,135,51,25681,1,13,8,2,8,2,7,7,Yes
392,Male,Master,Medical,Research & Development,Healthcare Representative,L3,Low,Low,Low,High,High,Travel Rarely,Never,Best,Divorced,L1,60,1,10883,370,92,20467,3,20,19,2,1,0,0,0,No
393,Male,Bachelor,Technical Degree,Research & Development,Manufacturing Director,L2,High,High,High,Medium,Very High,Travel Rarely,Never,Best,Divorced,L2,29,19,4262,232,34,22645,4,12,8,2,3,2,1,2,No
394,Male,Bachelor,Technical Degree,Research & Development,Manufacturing Director,L3,High,High,High,Very High,Medium,Travel Rarely,Frequently,Best,Married,L2,45,29,9380,1448,55,14720,4,18,10,4,3,1,1,2,No
395,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L2,Low,Low,Low,Very High,Low,Travel Frequently,Frequently,Better,Single,L0,34,7,6074,658,66,22887,1,24,9,3,9,7,0,6,Yes
396,Male,Bachelor,Technical Degree,Research & Development,Laboratory Technician,L1,Low,Low,Low,Medium,High,Travel Rarely,Frequently,Bad,Single,L0,26,24,2340,471,66,23213,1,18,1,3,1,0,0,0,Yes
397,Female,College,Marketing,Sales,Manager,L5,Medium,Medium,Medium,High,Very High,Travel Rarely,Never,Better,Married,L1,46,4,18789,168,33,9946,2,14,26,2,11,4,0,8,No
398,Male,Master,Life Sciences,Research & Development,Healthcare Representative,L4,Medium,Medium,Medium,Very High,High,Travel Frequently,Never,Good,Married,L1,40,1,13503,530,78,14115,1,22,22,3,22,3,11,11,No
399,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,Low,Low,Low,High,Low,Travel Never,Never,Better,Single,L0,44,24,3708,381,49,2104,2,14,9,5,5,2,1,4,No
400,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
401,Female,College,Life Sciences,Sales,Sales Executive,L2,High,High,High,Low,Low,Travel Rarely,Never,Better,Single,L0,24,3,4577,693,65,24785,9,14,4,3,2,2,2,0,Yes
402,Male,Below College,Medical,Research & Development,Healthcare Representative,L2,High,High,High,Medium,Medium,Travel Rarely,Frequently,Better,Married,L0,38,29,6673,1180,70,11354,7,19,17,2,1,0,0,0,Yes
403,Female,Master,Life Sciences,Research & Development,Manager,L4,Medium,Medium,Medium,Low,Very High,Travel Rarely,Never,Bad,Married,L1,48,1,15402,1236,40,17997,7,11,21,3,3,2,0,2,No
404,Female,College,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,High,Low,Travel Frequently,Never,Bad,Single,L0,21,10,2625,251,45,25308,1,20,2,2,2,2,2,2,Yes
405,Male,Bachelor,Marketing,Sales,Sales Executive,L3,High,High,High,Low,Low,Travel Rarely,Never,Best,Divorced,L1,46,9,10096,377,52,15986,4,11,28,1,7,7,4,3,Yes
406,Male,Below College,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Very High,Very High,Travel Frequently,Frequently,Good,Divorced,L1,58,2,2380,781,57,13384,9,14,3,3,1,0,0,0,Yes
407,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Never,Bad,Married,L1,37,10,3936,1470,71,9953,1,11,8,2,8,4,7,7,No
408,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Frequently,Better,Married,L3,28,24,2408,329,51,7324,1,17,1,3,1,1,0,0,Yes
409,Female,Master,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Never,Bad,Single,L0,29,28,3785,468,73,8489,1,14,5,3,5,4,0,4,No
410,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Never,Never,Better,Single,L0,18,8,1904,247,80,13556,1,12,0,0,0,0,0,0,Yes
411,Male,Bachelor,Marketing,Sales,Sales Representative,L1,High,High,High,Very High,Medium,Travel Frequently,Frequently,Better,Single,L0,18,5,1878,1306,69,8059,1,14,0,3,0,0,0,0,Yes
412,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Frequently,Never,Good,Married,L1,31,15,2610,874,72,6233,1,12,2,5,2,2,2,2,Yes
413,Male,Master,Life Sciences,Research & Development,Laboratory Technician,L1,Low,Low,Low,High,High,Travel Rarely,Never,Better,Divorced,L1,36,6,2741,917,60,6865,1,14,7,4,7,7,1,7,No
414,Male,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Medium,Travel Frequently,Never,Better,Divorced,L2,50,1,6728,878,94,14255,7,12,12,3,6,3,0,1,Yes
415,Female,Bachelor,Human Resources,Human Resources,Human Resources,L1,Medium,Medium,Medium,Low,Low,Travel Frequently,Never,Better,Married,L0,27,22,2863,1337,58,19555,1,12,1,2,1,0,0,0,Yes
416,Female,Master,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Frequently,Better,Married,L3,56,14,4963,441,72,4510,9,18,7,2,5,4,4,3,Yes
417,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L2,High,High,High,High,High,Travel Never,Never,Better,Divorced,L2,30,9,3072,111,66,11012,1,11,12,4,12,9,6,10,No
418,Male,Below College,Life Sciences,Research & Development,Healthcare Representative,L2,High,High,High,Low,High,Travel Rarely,Frequently,Good,Married,L1,36,14,6586,1425,68,4821,0,17,17,2,16,8,4,11,No
419,Female,Master,Life Sciences,Sales,Sales Representative,L1,Low,Low,Low,Medium,Medium,Travel Frequently,Never,Better,Single,L0,31,1,1359,667,50,16154,1,12,1,3,1,0,0,0,Yes
420,Male,College,Life Sciences,Research & Development,Healthcare Representative,L3,High,High,High,Medium,High,Travel Never,Never,Better,Married,L1,39,25,10920,1485,71,3449,3,21,13,2,6,4,0,5,No
421,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,High,Travel Rarely,Frequently,Better,Single,L0,28,24,2028,103,50,12947,5,14,6,4,4,2,0,3,Yes
422,Male,Master,Medical,Sales,Sales Executive,L2,High,High,High,Very High,Medium,Travel Rarely,Never,Bad,Married,L1,35,18,5561,682,71,15975,0,16,6,2,5,3,0,4,No
423,Female,College,Life Sciences,Sales,Sales Executive,L2,High,High,High,High,High,Travel Rarely,Never,Good,Married,L1,51,14,4936,1178,87,14862,4,11,18,2,7,7,0,7,No
424,Male,College,Life Sciences,Sales,Sales Executive,L2,Low,Low,Low,Medium,Low,Travel Rarely,Never,Better,Single,L0,32,1,6735,964,34,12147,6,15,10,2,0,0,0,0,Yes
425,Female,Master,Technical Degree,Human Resources,Human Resources,L1,High,High,High,Very High,Low,Travel Rarely,Never,Better,Married,L0,34,9,2742,1107,52,3072,1,15,2,0,2,2,2,2,Yes
426,Female,Bachelor,Technical Degree,Research & Development,Research Director,L5,High,High,High,Very High,Medium,Travel Rarely,Never,Better,Married,L0,41,12,19545,1360,49,16280,1,12,23,0,22,15,15,8,Yes
427,Male,Bachelor,Other,Human Resources,Human Resources,L3,Medium,Medium,Medium,Low,Medium,Travel Rarely,Never,Good,Single,L0,29,17,7988,332,51,9769,1,13,10,3,10,9,0,9,No
428,Male,Bachelor,Medical,Research & Development,Healthcare Representative,L2,Very High,Very High,Very High,High,Medium,Travel Rarely,Never,Good,Married,L2,42,13,5538,1128,95,5696,5,18,10,2,0,0,0,0,No
429,Male,Master,Marketing,Sales,Sales Executive,L4,Very High,Very High,Very High,High,Low,Travel Rarely,Frequently,Good,Single,L0,55,13,13695,267,85,9277,6,17,24,2,19,7,3,8,Yes
430,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Very High,Very High,Travel Rarely,Frequently,Bad,Single,L0,32,1,3730,515,62,9571,0,14,4,2,3,2,1,2,Yes
431,Male,Below College,Human Resources,Human Resources,Human Resources,L1,Low,Low,Low,High,Very High,Travel Rarely,Never,Better,Married,L1,24,22,1555,240,58,11585,1,11,1,2,1,0,0,0,Yes
432,Male,Master,Medical,Sales,Sales Executive,L2,High,High,High,High,Medium,Travel Rarely,Never,Bad,Divorced,L0,31,13,4233,1365,46,11512,2,17,9,2,3,1,1,2,Yes
433,Female,College,Medical,Research & Development,Manufacturing Director,L4,Very High,Very High,Very High,Medium,Very High,Travel Frequently,Frequently,Good,Married,L1,52,28,13247,322,59,9731,2,11,24,3,5,3,0,2,No
434,Female,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Low,Travel Frequently,Never,Better,Married,L2,45,26,4286,306,100,5630,2,14,5,4,1,1,0,0,Yes
435,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Never,Better,Married,L1,38,14,9924,1245,80,12355,0,11,10,3,9,8,7,7,No
436,Female,Master,Technical Degree,Human Resources,Human Resources,L1,High,High,High,Very High,Low,Travel Rarely,Never,Better,Married,L0,34,9,2742,1107,52,3072,1,15,2,0,2,2,2,2,Yes
437,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Low,Low,Travel Rarely,Never,Best,Single,L0,32,9,4200,1033,41,10224,7,22,10,2,5,4,0,4,Yes
438,Male,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Medium,Travel Frequently,Never,Better,Divorced,L2,50,1,6728,878,94,14255,7,12,12,3,6,3,0,1,Yes
439,Male,Master,Life Sciences,Sales,Manager,L5,Medium,Medium,Medium,Very High,Low,Travel Never,Frequently,Best,Single,L0,52,2,19068,771,79,21030,1,18,33,2,33,7,15,12,No
440,Male,Below College,Medical,Research & Development,Healthcare Representative,L2,High,High,High,Medium,Medium,Travel Rarely,Frequently,Better,Married,L0,38,29,6673,1180,70,11354,7,19,17,2,1,0,0,0,Yes
441,Male,College,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Medium,Travel Frequently,Never,Better,Married,L1,32,5,6524,379,48,8891,1,14,10,3,10,8,5,3,No
442,Male,Master,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Good,Married,L1,27,2,2226,1354,41,6073,1,11,6,3,5,3,1,2,No
443,Female,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Low,Travel Frequently,Frequently,Better,Married,L1,24,7,2886,1287,55,14168,1,16,6,4,6,3,1,2,Yes
444,Female,Bachelor,Human Resources,Human Resources,Human Resources,L1,Medium,Medium,Medium,High,High,Travel Frequently,Never,Good,Divorced,L1,30,8,2180,600,66,9732,6,11,6,0,4,2,1,2,Yes
445,Male,Master,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Low,Very High,Travel Rarely,Never,Better,Single,L0,32,2,1393,1259,95,24852,1,12,1,2,1,0,0,0,Yes
446,Female,Below College,Medical,Research & Development,Manager,L5,High,High,High,Medium,Very High,Travel Rarely,Never,Better,Married,L1,40,4,19033,989,46,6499,1,14,21,2,20,8,9,9,No
447,Male,College,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Low,Travel Rarely,Never,Better,Single,L0,56,24,2587,1162,97,10261,1,16,5,3,4,2,1,0,Yes
448,Male,Below College,Life Sciences,Research & Development,Research Scientist,L2,High,High,High,Low,Low,Travel Rarely,Never,Better,Single,L0,39,24,4108,116,52,5340,7,13,18,2,7,7,1,7,No
449,Male,Bachelor,Human Resources,Human Resources,Human Resources,L1,Medium,Medium,Medium,Very High,Low,Travel Rarely,Frequently,Better,Divorced,L3,29,13,2335,350,56,3157,4,15,4,3,2,2,2,0,Yes
450,Male,Master,Medical,Sales,Sales Executive,L3,Low,Low,Low,High,Very High,Travel Rarely,Never,Good,Married,L0,32,4,10400,1045,32,25812,1,11,14,2,14,8,9,8,Yes
451,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Very High,Travel Rarely,Frequently,Bad,Married,L0,39,6,2404,1122,70,4303,7,21,8,2,2,2,2,2,Yes
452,Male,Bachelor,Medical,Research & Development,Manager,L5,High,High,High,Very High,Very High,Travel Rarely,Frequently,Better,Married,L1,55,2,19859,725,78,21199,5,13,24,2,5,2,1,4,Yes
453,Male,Bachelor,Marketing,Sales,Manager,L5,High,High,High,High,Medium,Travel Rarely,Never,Better,Married,L1,44,5,18213,1099,88,8751,7,11,26,5,22,9,3,10,No
454,Male,Bachelor,Life Sciences,Research & Development,Healthcare Representative,L3,High,High,High,Low,Low,Travel Frequently,Never,Better,Married,L0,31,20,9824,534,66,22908,3,12,12,2,1,0,0,0,Yes
455,Female,Doctor,Life Sciences,Research & Development,Research Director,L4,High,High,High,Medium,Low,Travel Rarely,Never,Better,Single,L0,42,23,15992,810,44,15901,2,14,16,2,1,0,0,0,No
456,Female,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Low,High,Travel Rarely,Never,Good,Single,L0,21,10,1416,1334,36,17258,1,13,1,6,1,0,1,0,Yes
457,Male,Master,Life Sciences,Research & Development,Research Scientist,L2,High,High,High,High,Very High,Travel Rarely,Frequently,Good,Divorced,L1,42,18,5410,557,35,11189,6,17,9,3,4,3,1,2,No
458,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Low,Low,Travel Frequently,Never,Better,Divorced,L2,28,1,2596,1009,45,7160,1,15,1,2,1,0,0,0,Yes
459,Male,Below College,Technical Degree,Research & Development,Manufacturing Director,L2,Medium,Medium,Medium,High,High,Travel Frequently,Never,Better,Married,L1,27,1,4298,472,60,9679,5,19,6,1,2,2,2,0,No
460,Female,Bachelor,Medical,Research & Development,Manufacturing Director,L2,High,High,High,Very High,Low,Travel Frequently,Never,Bad,Single,L0,39,4,5042,711,81,3140,0,13,10,2,9,2,3,8,No
461,Female,Bachelor,Medical,Sales,Sales Representative,L1,Medium,Medium,Medium,Very High,High,Travel Rarely,Never,Good,Single,L0,20,2,2044,500,49,22052,1,13,2,3,2,2,0,2,Yes
462,Female,Below College,Technical Degree,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Low,Travel Frequently,Frequently,Better,Single,L0,21,1,2174,756,99,9150,1,11,3,3,3,2,1,2,Yes
463,Female,Doctor,Life Sciences,Research & Development,Manufacturing Director,L3,Very High,Very High,Very High,Low,High,Travel Frequently,Never,Better,Single,L0,31,1,7446,1445,100,8931,1,11,10,2,10,8,4,7,Yes
464,Female,Below College,Marketing,Sales,Manager,L5,Low,Low,Low,Very High,Low,Travel Rarely,Never,Better,Married,L1,52,2,19845,266,57,25846,1,15,33,3,32,14,6,9,Yes
465,Female,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,High,Very High,Travel Rarely,Never,Good,Divorced,L1,37,14,3034,1107,95,26914,1,12,18,2,18,7,12,17,No
466,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Never,Never,Better,Single,L0,18,8,1904,247,80,13556,1,12,0,0,0,0,0,0,Yes
